Question,Response
ich studiere schon an der thm und habe mein passwort vergessen was muss ich tun?,Bitte kontaktiere das InfoCenter THM
Ich studiere schon an der THM und möchte den Studiengang wechseln. Muss ich mich neu über E-Campus registrieren?,"Nein, es ist keine neue Registrierung notwendig. Bitte nutze deine bisherige THM-Benutzerkennung und dein Passwort."
"Wie kann ich mir eine Studienbescheinigung, Studienverlaufsbescheinigung oder eine Bescheinigung hüt Bafög erstellen?","Über den Bereich ""Mein Studium - Studienservice - Bescheide/Bescheinigungen"" stehen alle Dokumente zum Download zur Verfügung."
Ich bin umgezogen. Wie kann ich der THM mene neue Adresse mitteilen?,Melde dich einfach über den E-Campus an. Im Bereich Mein Studium - Studienservice - Kontaktdaten - Studium kannst du deine neue Adresse eingeben.
Mein Name oder mein Geburtsdatum ist falsch hinterlegt. Wer kann mir helfen?,Bitte stelle im E-Campus direkt einen Antrag auf Änderung der personenbezogenen Daten. Du findest den Antrag unter Service - Anträge - Sonstige Anträge.
Was finde ich auf der Registerkarte Zahlungen?,"Hier kannst du den Semesterbeitrag sehen, den du für eine Rückmeldung überweisen musst. Du kannst hier auf einen Blick sehen wie hoch der zu zahlende Betrag ist oder auch welche Beiträge du bereits gezahlt hast. Falls du z. B. einen zu hohen Betrag überwiesen hast, wird Dir dies als Guthaben angezeigt. Über den Button Beiträge erstatten, kannst du die Rückzahlung dieses Guthabens direkt beantragen."
Ich habe eine Sperre. Was muss ich jetzt tun?,"Eine Sperre verhindert die Rückmeldung zum angegebenen Semester. Wenn du nicht genau weißt, was der Grund für die Sperre ist, kontaktiere das Studiensekretariat."
Es treten Fehler bei der Prüfungsanmeldung auf. An wen kann ich mich wenden?,"Bitte achte zuerst darauf, dass du nur in einem Browser Tab arbeitest. Sollte es immer noch zu Fehlermeldungen kommen, schreibe eine E-Mail mit Angabe deiner Matrikelnummer an: studsb@thm.de"
Ich bin exmatrikuliert. Wei lange ist mein Account und meine E-Mail Adresse noch aktiv?,Die Zugänge werden 90 Tag nach dem Exmatrikulationsdatum unwiderruflich gelöscht. Sichere Dir aus diesem Grund direkt nach oder vor der Exmatrikulation sämtliche E-Mails und Bescheinigungen.
Wo kann ich mir eine aktuelle Leistungsübersicht ausdrucken?,"Diese findest du unter ""Prüfungen und Veranstaltungen – Leistungsübersicht"". Achtung Nach der Exmatrikulation steht Dir die Leistungsübersicht nicht mehr im E-Campus als Download zu Verfügung. Wende dich dann bitte direkt an deinen Fachbereich."
Ich bin Studienanfänger*in und möchte mir das THM_Benutzerkonto freischalten. Wo finde ich meine Zugangsdaten?,Bitte logge dich in deinen Bewerberaccount ein. Unter Mein Studium - Studienservice - Bescheide/Bescheinigungen findest du dein THM-Initialpasswort zur Freischaltung des THM-Benutzerkontos. Folge einfach den Anweisungen auf dem Dokument.
Warum steht auf meinen alten Studienbescheinigung 0€ als Semesterbeitrag?,Nach der Systemumstellung können auf alten Studienbescheinigungen (bis einschließlich SS 2021) keine Semesterbeiträge mehr angezeigt werden. Ab dem aktuellen Semester (WS 21/22) steht der Semesterbeitrag wieder drauf. Eine Übersicht über die vergangenen Semesterbeiträge findest du hier.
